,precision,recall,f1-score,support
Black footed Albatross,0.48936170212765956,0.7666666666666667,0.5974025974025974,30.0
Laysan Albatross,0.5277777777777778,0.6333333333333333,0.5757575757575758,30.0
Sooty Albatross,0.7,0.5,0.5833333333333334,28.0
Groove billed Ani,0.75,0.7,0.7241379310344828,30.0
Crested Auklet,0.625,0.7142857142857143,0.6666666666666666,14.0
Least Auklet,0.75,0.8181818181818182,0.782608695652174,11.0
Parakeet Auklet,0.8571428571428571,0.782608695652174,0.8181818181818182,23.0
Rhinoceros Auklet,0.5,0.3888888888888889,0.4375,18.0
Brewer Blackbird,0.5384615384615384,0.2413793103448276,0.3333333333333333,29.0
Red winged Blackbird,0.7692307692307693,0.6666666666666666,0.7142857142857143,30.0
Rusty Blackbird,0.5714285714285714,0.4,0.47058823529411764,30.0
Yellow headed Blackbird,0.9565217391304348,0.8461538461538461,0.8979591836734694,26.0
Bobolink,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Indigo Bunting,0.5918367346938775,0.9666666666666667,0.7341772151898734,30.0
Lazuli Bunting,0.8148148148148148,0.7857142857142857,0.8,28.0
Painted Bunting,1.0,0.5714285714285714,0.7272727272727273,28.0
Cardinal,0.8421052631578947,0.5925925925925926,0.6956521739130435,27.0
Spotted Catbird,0.7647058823529411,0.8666666666666667,0.8125,15.0
Gray Catbird,0.8636363636363636,0.6551724137931034,0.7450980392156863,29.0
Yellow breasted Chat,0.38461538461538464,0.3448275862068966,0.36363636363636365,29.0
Eastern Towhee,0.8695652173913043,0.6666666666666666,0.7547169811320755,30.0
Chuck will Widow,0.5641025641025641,0.8461538461538461,0.676923076923077,26.0
Brandt Cormorant,0.5,0.3793103448275862,0.43137254901960786,29.0
Red faced Cormorant,0.7368421052631579,0.6363636363636364,0.6829268292682927,22.0
Pelagic Cormorant,0.6818181818181818,0.5,0.5769230769230769,30.0
Bronzed Cowbird,0.3888888888888889,0.4666666666666667,0.42424242424242425,30.0
Shiny Cowbird,0.3333333333333333,0.06666666666666667,0.1111111111111111,30.0
Brown Creeper,0.7741935483870968,0.8275862068965517,0.8,29.0
American Crow,0.2857142857142857,0.4,0.3333333333333333,30.0
Fish Crow,0.3333333333333333,0.23333333333333334,0.27450980392156865,30.0
Black billed Cuckoo,0.7894736842105263,0.5,0.6122448979591837,30.0
Mangrove Cuckoo,0.3,0.13043478260869565,0.18181818181818182,23.0
Yellow billed Cuckoo,0.5333333333333333,0.5517241379310345,0.5423728813559322,29.0
Gray crowned Rosy Finch,0.8,0.6896551724137931,0.7407407407407407,29.0
Purple Finch,0.5652173913043478,0.8666666666666667,0.6842105263157895,30.0
Northern Flicker,0.5945945945945946,0.7333333333333333,0.6567164179104478,30.0
Acadian Flycatcher,0.2857142857142857,0.27586206896551724,0.2807017543859649,29.0
Great Crested Flycatcher,0.8,0.13333333333333333,0.22857142857142856,30.0
Least Flycatcher,0.3448275862068966,0.3448275862068966,0.3448275862068966,29.0
Olive sided Flycatcher,0.47368421052631576,0.3,0.3673469387755102,30.0
Scissor tailed Flycatcher,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Vermilion Flycatcher,0.5625,0.6,0.5806451612903226,30.0
Yellow bellied Flycatcher,0.18181818181818182,0.06896551724137931,0.1,29.0
Frigatebird,0.75,0.4,0.5217391304347826,30.0
Northern Fulmar,0.75,0.3,0.42857142857142855,30.0
Gadwall,0.75,0.9,0.8181818181818182,30.0
American Goldfinch,0.8148148148148148,0.7333333333333333,0.7719298245614035,30.0
European Goldfinch,0.8275862068965517,0.8,0.8135593220338984,30.0
Boat tailed Grackle,0.391304347826087,0.3,0.33962264150943394,30.0
Eared Grebe,0.5263157894736842,0.6666666666666666,0.5882352941176471,30.0
Horned Grebe,0.75,0.6,0.6666666666666666,30.0
Pied billed Grebe,0.7027027027027027,0.8666666666666667,0.7761194029850746,30.0
Western Grebe,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Blue Grosbeak,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
Evening Grosbeak,0.6857142857142857,0.8,0.7384615384615385,30.0
Pine Grosbeak,0.6111111111111112,0.36666666666666664,0.4583333333333333,30.0
Rose breasted Grosbeak,0.8,0.8,0.8,30.0
Pigeon Guillemot,0.6842105263157895,0.4642857142857143,0.5531914893617021,28.0
California Gull,0.21212121212121213,0.23333333333333334,0.2222222222222222,30.0
Glaucous winged Gull,0.625,0.1724137931034483,0.2702702702702703,29.0
Heermann Gull,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Herring Gull,0.2631578947368421,0.16666666666666666,0.20408163265306123,30.0
Ivory Gull,0.6666666666666666,0.8,0.7272727272727273,30.0
Ring billed Gull,0.34285714285714286,0.4,0.36923076923076925,30.0
Slaty backed Gull,0.2,0.3,0.24,20.0
Western Gull,0.35185185185185186,0.6333333333333333,0.4523809523809524,30.0
Anna Hummingbird,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
Ruby throated Hummingbird,0.5185185185185185,0.4666666666666667,0.49122807017543857,30.0
Rufous Hummingbird,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Green Violetear,0.6976744186046512,1.0,0.821917808219178,30.0
Long tailed Jaeger,0.6923076923076923,0.3,0.4186046511627907,30.0
Pomarine Jaeger,0.3142857142857143,0.36666666666666664,0.3384615384615385,30.0
Blue Jay,0.78125,0.8333333333333334,0.8064516129032258,30.0
Florida Jay,0.9,0.9,0.9,30.0
Green Jay,0.9230769230769231,0.8888888888888888,0.9056603773584906,27.0
Dark eyed Junco,0.9047619047619048,0.6333333333333333,0.7450980392156863,30.0
Tropical Kingbird,0.5111111111111111,0.7666666666666667,0.6133333333333333,30.0
Gray Kingbird,0.42105263157894735,0.27586206896551724,0.3333333333333333,29.0
Belted Kingfisher,0.72,0.6,0.6545454545454545,30.0
Green Kingfisher,0.6956521739130435,0.5333333333333333,0.6037735849056604,30.0
Pied Kingfisher,0.7222222222222222,0.8666666666666667,0.7878787878787878,30.0
Ringed Kingfisher,0.6285714285714286,0.7333333333333333,0.676923076923077,30.0
White breasted Kingfisher,0.9642857142857143,0.9,0.9310344827586207,30.0
Red legged Kittiwake,0.45161290322580644,0.6086956521739131,0.5185185185185185,23.0
Horned Lark,0.5555555555555556,0.8333333333333334,0.6666666666666666,30.0
Pacific Loon,0.7241379310344828,0.7,0.711864406779661,30.0
Mallard,0.88,0.7333333333333333,0.8,30.0
Western Meadowlark,0.78125,0.8333333333333334,0.8064516129032258,30.0
Hooded Merganser,0.8888888888888888,0.8,0.8421052631578947,30.0
Red breasted Merganser,0.6944444444444444,0.8333333333333334,0.7575757575757576,30.0
Mockingbird,0.2222222222222222,0.06666666666666667,0.10256410256410256,30.0
Nighthawk,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0
Clark Nutcracker,0.8823529411764706,1.0,0.9375,30.0
White breasted Nuthatch,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Baltimore Oriole,0.5789473684210527,0.7333333333333333,0.6470588235294118,30.0
Hooded Oriole,0.8181818181818182,0.3,0.43902439024390244,30.0
Orchard Oriole,0.5666666666666667,0.5862068965517241,0.576271186440678,29.0
Scott Oriole,0.8333333333333334,0.5,0.625,30.0
Ovenbird,0.7,0.4666666666666667,0.56,30.0
Brown Pelican,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
White Pelican,0.76,0.95,0.8444444444444444,20.0
Western Wood Pewee,0.15555555555555556,0.23333333333333334,0.18666666666666668,30.0
Sayornis,0.2702702702702703,0.3333333333333333,0.29850746268656714,30.0
American Pipit,0.30434782608695654,0.7,0.42424242424242425,30.0
Whip poor Will,0.6,0.631578947368421,0.6153846153846154,19.0
Horned Puffin,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
Common Raven,0.3230769230769231,0.7,0.4421052631578947,30.0
White necked Raven,0.85,0.5666666666666667,0.68,30.0
American Redstart,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
Geococcyx,0.6842105263157895,0.8666666666666667,0.7647058823529411,30.0
Loggerhead Shrike,0.3902439024390244,0.5333333333333333,0.4507042253521127,30.0
Great Grey Shrike,0.5862068965517241,0.5666666666666667,0.576271186440678,30.0
Baird Sparrow,0.4782608695652174,0.55,0.5116279069767442,20.0
Black throated Sparrow,0.5588235294117647,0.6333333333333333,0.59375,30.0
